Time,Date,UPHTRTMP (F),Upper Strip (C),Lower Strip (C),Lower Strip (C),SW_VERSN
4:01:19 PM,2/28/2025,67.8,19.88888889,67.9,19.94444444,WH-BLSF-B0-00-09
4:01:30 PM,2/28/2025,68.1,20.05555556,68.3,20.16666667,WH-BLSF-B0-00-09
4:01:40 PM,2/28/2025,68.7,20.38888889,68.9,20.5,WH-BLSF-B0-00-09
4:01:50 PM,2/28/2025,69.1,20.61111111,69.4,20.77777778,WH-BLSF-B0-00-09
4:02:00 PM,2/28/2025,69.5,20.83333333,69.8,21,WH-BLSF-B0-00-09
4:02:10 PM,2/28/2025,70,21.11111111,70.4,21.33333333,WH-BLSF-B0-00-09
4:02:20 PM,2/28/2025,70.4,21.33333333,70.9,21.61111111,WH-BLSF-B0-00-09
4:02:30 PM,2/28/2025,71,21.66666667,71.4,21.88888889,WH-BLSF-B0-00-09
4:02:40 PM,2/28/2025,71.5,21.94444444,72,22.22222222,WH-BLSF-B0-00-09
4:02:50 PM,2/28/2025,72.1,22.27777778,72.6,22.55555556,WH-BLSF-B0-00-09
4:03:00 PM,2/28/2025,72.4,22.44444444,73.1,22.83333333,WH-BLSF-B0-00-09
4:03:10 PM,2/28/2025,72.9,22.72222222,73.6,23.11111111,WH-BLSF-B0-00-09
4:03:20 PM,2/28/2025,73.5,23.05555556,74.3,23.5,WH-BLSF-B0-00-09
4:03:30 PM,2/28/2025,74.1,23.38888889,74.9,23.83333333,WH-BLSF-B0-00-09
4:03:40 PM,2/28/2025,74.8,23.77777778,75.6,24.22222222,WH-BLSF-B0-00-09
4:03:50 PM,2/28/2025,75.4,24.11111111,76.3,24.61111111,WH-BLSF-B0-00-09
4:04:00 PM,2/28/2025,75.9,24.38888889,76.8,24.88888889,WH-BLSF-B0-00-09
4:04:10 PM,2/28/2025,76.5,24.72222222,77.4,25.22222222,WH-BLSF-B0-00-09
4:04:20 PM,2/28/2025,77,25,77.9,25.5,WH-BLSF-B0-00-09
4:04:30 PM,2/28/2025,77.4,25.22222222,78.3,25.72222222,WH-BLSF-B0-00-09
4:04:40 PM,2/28/2025,77.8,25.44444444,78.8,26,WH-BLSF-B0-00-09
4:04:50 PM,2/28/2025,78.2,25.66666667,79.2,26.22222222,WH-BLSF-B0-00-09
4:05:00 PM,2/28/2025,78.5,25.83333333,79.4,26.33333333,WH-BLSF-B0-00-09
4:05:10 PM,2/28/2025,78.7,25.94444444,79.6,26.44444444,WH-BLSF-B0-00-09
4:05:20 PM,2/28/2025,78.8,26,79.6,26.44444444,WH-BLSF-B0-00-09
4:05:30 PM,2/28/2025,78.5,25.83333333,79.2,26.22222222,WH-BLSF-B0-00-09
4:05:40 PM,2/28/2025,78,25.55555556,78.5,25.83333333,WH-BLSF-B0-00-09
4:05:49 PM,2/28/2025,77.7,25.38888889,78.2,25.66666667,WH-BLSF-B0-00-09
4:06:00 PM,2/28/2025,77.5,25.27777778,78,25.55555556,WH-BLSF-B0-00-09
4:06:10 PM,2/28/2025,77.7,25.38888889,78,25.55555556,WH-BLSF-B0-00-09
4:06:20 PM,2/28/2025,77.8,25.44444444,78.2,25.66666667,WH-BLSF-B0-00-09
4:06:30 PM,2/28/2025,77.9,25.5,78.4,25.77777778,WH-BLSF-B0-00-09
4:06:40 PM,2/28/2025,78,25.55555556,78.4,25.77777778,WH-BLSF-B0-00-09
4:06:50 PM,2/28/2025,78.2,25.66666667,78.6,25.88888889,WH-BLSF-B0-00-09
4:07:00 PM,2/28/2025,78.3,25.72222222,78.6,25.88888889,WH-BLSF-B0-00-09
4:07:09 PM,2/28/2025,78.3,25.72222222,78.8,26,WH-BLSF-B0-00-09
4:07:19 PM,2/28/2025,78.4,25.77777778,78.8,26,WH-BLSF-B0-00-09
4:07:29 PM,2/28/2025,78.4,25.77777778,78.8,26,WH-BLSF-B0-00-09
4:07:39 PM,2/28/2025,78.5,25.83333333,78.9,26.05555556,WH-BLSF-B0-00-09
4:07:50 PM,2/28/2025,78.5,25.83333333,78.9,26.05555556,WH-BLSF-B0-00-09
4:08:00 PM,2/28/2025,78.7,25.94444444,79,26.11111111,WH-BLSF-B0-00-09
4:08:10 PM,2/28/2025,78.7,25.94444444,79.1,26.16666667,WH-BLSF-B0-00-09
4:08:20 PM,2/28/2025,78.7,25.94444444,79.1,26.16666667,WH-BLSF-B0-00-09
4:08:30 PM,2/28/2025,78.8,26,79.2,26.22222222,WH-BLSF-B0-00-09
4:08:40 PM,2/28/2025,78.8,26,79.1,26.16666667,WH-BLSF-B0-00-09
4:08:50 PM,2/28/2025,78.8,26,79.1,26.16666667,WH-BLSF-B0-00-09
4:09:00 PM,2/28/2025,78.6,25.88888889,78.7,25.94444444,WH-BLSF-B0-00-09
4:09:10 PM,2/28/2025,78.6,25.88888889,78.6,25.88888889,WH-BLSF-B0-00-09
4:09:20 PM,2/28/2025,78.7,25.94444444,78.8,26,WH-BLSF-B0-00-09
4:09:30 PM,2/28/2025,79,26.11111111,79.2,26.22222222,WH-BLSF-B0-00-09
4:09:40 PM,2/28/2025,79.4,26.33333333,79.7,26.5,WH-BLSF-B0-00-09
4:09:50 PM,2/28/2025,79.8,26.55555556,80.2,26.77777778,WH-BLSF-B0-00-09
4:10:04 PM,2/28/2025,80.3,26.83333333,80.8,27.11111111,WH-BLSF-B0-00-09
4:10:10 PM,2/28/2025,80.6,27,81.2,27.33333333,WH-BLSF-B0-00-09
4:10:20 PM,2/28/2025,81.2,27.33333333,81.8,27.66666667,WH-BLSF-B0-00-09
4:10:30 PM,2/28/2025,81.7,27.61111111,82.3,27.94444444,WH-BLSF-B0-00-09
4:10:40 PM,2/28/2025,82.2,27.88888889,82.9,28.27777778,WH-BLSF-B0-00-09
4:10:50 PM,2/28/2025,82.6,28.11111111,83.4,28.55555556,WH-BLSF-B0-00-09
4:11:00 PM,2/28/2025,83.2,28.44444444,84,28.88888889,WH-BLSF-B0-00-09
4:11:10 PM,2/28/2025,83.8,28.77777778,84.6,29.22222222,WH-BLSF-B0-00-09
4:11:20 PM,2/28/2025,84.3,29.05555556,85.2,29.55555556,WH-BLSF-B0-00-09
4:11:30 PM,2/28/2025,84.8,29.33333333,85.7,29.83333333,WH-BLSF-B0-00-09
4:11:40 PM,2/28/2025,85.4,29.66666667,86.4,30.22222222,WH-BLSF-B0-00-09
4:11:50 PM,2/28/2025,86,30,87,30.55555556,WH-BLSF-B0-00-09
4:12:00 PM,2/28/2025,86.7,30.38888889,87.7,30.94444444,WH-BLSF-B0-00-09
4:12:09 PM,2/28/2025,87.2,30.66666667,88.3,31.27777778,WH-BLSF-B0-00-09
